state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
AL,2006,4.759780149,0.679657795,0.482813495,0.339496334,3.612524462,0.870599429,176.9034199,5.547392865
AL,2007,2.252525253,0.698191214,0.285492228,0.332901135,3.505336179,0.826783868,236.3834625,5.815633075
AL,2008,4.804145585,0.667851373,0.455913283,0.332901135,3.627699918,0.881306598,178.8591481,5.542271701
AL,2010,4.819708847,0.657804105,0.45824115,0.303126729,3.653150608,0.877984817,178.6417664,5.537201357
AL,2011,4.815211268,0.65389456,0.477958237,0.347455176,3.626857381,0.868984322,179.0559108,5.545435995
AL,2012,4.824926858,0.704335793,0.453412532,0.342498222,3.630709312,0.878924284,180.7048255,5.54311106
AL,2013,4.831329382,0.665939597,0.455031599,0.34207937,3.632396208,0.892120825,181.1109694,5.54513446
AL,2014,4.827279559,0.704100256,0.453663391,0.353855799,3.625078135,0.906489711,181.0025513,5.553851294
AL,2015,4.817008798,0.669076189,0.449305269,0.370658516,3.612267402,0.910282394,182.7966878,5.565717427
AL,2016,4.767039194,0.693070818,0.450715174,0.399590487,3.602682052,0.901862027,184.274056,5.574401137
AL,2017,4.80403212,0.653540646,0.444190601,0.3890088,3.596942095,0.896689589,184.7826849,5.581234056
AK,2006,4.543103448,0.769646365,0.545409674,0.566831683,3.245253976,0.83810464,178.2303922,5.592728758
AK,2007,2.636363636,0.812304484,0.311578947,0.552734375,3.150054765,0.839958159,256.144641,6.475026015
AK,2008,4.604977921,0.750097618,0.534321373,0.552734375,3.268412439,0.853629977,180.3090062,5.592682453
AK,2010,4.630853994,0.758271078,0.493040685,0.551576697,3.328291317,0.826552463,178.6420605,5.575898389
AK,2011,4.638550353,0.770481551,0.524364723,0.58485139,3.293498452,0.838863976,179.9845652,5.599436034
AK,2012,4.585298545,0.801891368,0.486366986,0.555858311,3.360204082,0.841119221,179.0208081,5.58786999
AK,2013,4.624541677,0.772422062,0.504932324,0.554138651,3.223216334,0.847894975,179.9975259,5.593960864
AK,2014,4.690493919,0.821934245,0.476015663,0.575,3.315828041,0.897708082,180.4843039,5.598390447
AK,2015,4.574307305,0.775909508,0.474551339,0.543504172,3.241185185,0.891481914,181.3198956,5.583768368
AK,2016,4.63393529,0.797312023,0.495934959,0.557174888,3.264401773,0.916666667,182.4230769,5.595609579
AK,2017,4.563120567,0.767875648,0.476763624,0.568259386,3.24122807,0.918642951,183.2492621,5.596124412
AZ,2006,4.703172738,0.757942857,0.491280404,0.508998616,3.496966869,0.856587374,170.3257247,5.538860991
AZ,2007,2.470588235,0.770614693,0.261851016,0.498937677,3.442040185,0.791572611,261.2271364,6.047976012
AZ,2008,4.73010195,0.730010567,0.486314674,0.498937677,3.487262873,0.881523272,171.6120295,5.527597022
AZ,2010,4.746052632,0.747096774,0.483817274,0.481584305,3.464004499,0.900664697,171.9514081,5.532977483
AZ,2011,4.765164645,0.75443686,0.488698235,0.533995816,3.482262383,0.895083046,171.5948911,5.541605262
AZ,2012,4.773042169,0.766850668,0.481203008,0.515205459,3.4807892,0.879413047,172.6211243,5.554959915
AZ,2013,4.777260274,0.736047452,0.486659826,0.522580645,3.451135494,0.876715747,173.3359045,5.561167786
AZ,2014,4.795543604,0.779161206,0.467224862,0.520516717,3.566214111,0.934213405,174.6746568,5.553243263
AZ,2015,4.802528133,0.764411408,0.445210398,0.51072153,3.57296291,0.92889327,174.1102704,5.553290365
AZ,2016,4.796758105,0.747701839,0.455027534,0.516384181,3.58017908,0.944655725,175.0770611,5.562572691
AZ,2017,4.805720912,0.753560277,0.437776971,0.533614378,3.530497477,0.92514014,177.3437257,5.574743726
AR,2006,4.512629162,0.693408663,0.505008505,0.369067877,3.351930502,0.851481412,174.6510534,5.563174066
AR,2007,2.012048193,0.745602165,0.310554804,0.359529587,3.167128988,0.791751183,239.3470628,6.208192663
AR,2008,4.591140434,0.663690476,0.500093231,0.359529587,3.440304183,0.868901304,177.3450325,5.551655834
